id	label	type	category	description
R_STATECOLLAPSE	State collapse or crisis 	Risk	Geopolitical	State collapse of geopolitical importance due to internal violence, regional or global instability and military coup, civil conflict, failed states, etc.
R_WMD	Weapons of mass destruction	Risk	Geopolitical	Nuclear, chemical, biological and radiological technologies and materials are deployed creating international crises and potential for significant destruction.
R_FAILUREURBAN	Failure of urban planning	Risk	Societal	Poorly planned cities, urban sprawl and associated infrastructure create social, environmental and health challenges.
R_FOOD	Food crises	Risk	Societal	Access to appropriate quantities and quality of food and nutrition becomes inadequate, unaffordable or unreliable on a major scale.
R_MIGRATION	Large-scale involuntary migration	Risk	Societal	Large-scale involuntary migration due to conflict, disasters, environmental or economic reasons.
R_SOCIALINSTABILITY	Profound social instability	Risk	Societal	Major social movements or protests (e.g. street riots, social unrest, etc.) disrupt political or social stability, negatively impacting populations and economic activity.
R_INFECTIOUSDISEASES	Spread of infectious diseases	Risk	Societal	Bacteria, viruses, parasites or fungi cause uncontrolled spread of infectious diseases (for instance due to resistance to antibiotics, antivirals and other treatments) leading to widespread fatalities and economic disruption.
R_WATER	Water crises	Risk	Societal	A significant decline in the available quality and quantity of fresh water resulting in harmful effects on human health and/or economic activity.
R_CRITICALINFO	Critical information infrastructure breakdown	Risk	Technological	Systemic failures of critical information infrastructure (e.g. internet, satellites, etc.) and networks negatively impact industrial production, public services and communications.
R_CYBERATTACKS	Cyber attacks	Risk	Technological	State-sponsored, state-affiliated, criminal or terrorist large-scale cyber attacks cause an infrastructure breakdown and/or loss of trust in the internet.
R_DATAFRAUD	Data fraud or theft	Risk	Technological	Criminal or state-sponsored wrongful exploitation of private or official data takes place on an unprecedented scale.
R_MISUSETECH	Misuse of technologies	Risk	Technological	Massive and widespread misuse of technologies such as 3D printing, artificial intelligence, geo-engineering, synthetic biology causing human, environmental and economic damage.
T_AGEING	Ageing population	Trend	Trend	Ageing of populations in developed and developing countries driven by declining fertility and decrease of middle and old age mortality.
T_CLIMATECHANGE	Climate change	Trend	Trend	Change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability.
T_ENVIRONMENTALDEG	Environmental degradation	Trend	Trend	Deterioration in quality of air, soil and water from ambient concentrations of pollutants and other activities and processes.
T_MIDDLECLASS	Growing middle class in emerging economies	Trend	Trend	Growing share of population reaching middle class income levels in emerging economies.
T_NATIONALSENTIMENT	Increasing national sentiment	Trend	Trend	Increasing national sentiment among populations and political leaders affecting countries’ national and international political positions.
T_POLARIZATION	Increasing polarization of societies	Trend	Trend	Inability to reach agreement on key issues within countries due to diverging or extreme values, political or religious views.
T_CHRONICDISEASES	Rise of chronic diseases	Trend	Trend	Increasing rates of non-communicable diseases, also known as chronic diseases leading to long-term costs of treatment threatening recent societal gains in life expectancy and quality and burden economies.
T_HYPERCONNECTIVITY	Rise of hyperconnectivity	Trend	Trend	Increasing digital interconnection of people and things.
T_MOBILITY	Rising geographic mobility	Trend	Trend	Increasing mobility of people and things due to quicker and better performing means of transports and lowered barriers.
T_INCOMEDISP	Rising income disparity	Trend	Trend	Increasing socioeconomic gap between rich and poor in major countries or regions.
T_SHIFTPOWER	Shifts in power	Trend	Trend	Shifting power from state to non-state actors and individuals, from global to regional levels, and from developed to emerging market and developing economies.
T_URBANIZATION	Urbanization	Trend	Trend	Rising number of people living in urban areas that results in the physical growth of cities. 
T_INTERGOVERNANCE	Weakening of international governance	Trend	Trend	Weakening or inadequate global or regional institutions (e.g. the UN, IMF, NATO, etc.), agreements or networks, as well as loss of trust in them increasing the global power vacuum and preventing effective solutions to global challenges.
