id	short_id	long_label	label	type	description	category
R_BIODIVERSITY	BIODIVERSITY	Major biodiversity loss and ecosystem collapse (terrestrial or marine)	Biodiversity loss and ecosystem collapse	Risk	Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries	Environmental
R_NATURALCATA	NATURALCATA	Major natural disasters (e.g. earthquake, tsunami, volcanic eruption, geomagnetic storms)	Natural disasters	Risk	Major property, infrastructure and/or environmental damage as well as loss of human life caused by geophysical disasters such as earthquakes, volcanic activity, landslides, tsunamis, or geomagnetic storms	Environmental
R_MANMADECATA	MANMADECATA	Man-made environmental damage and disasters (e.g. oil spills, radioactive contamination, etc.)	Man-made environmental disasters	Risk	Failure to prevent major man-made damage and disasters, including environmental crime, causing harm to human lives and health, infrastructure, property, economic activity and the environment	Environmental
R_NATIONALGOV	NATIONALGOV	Failure of national governance (e.g. failure of rule of law, corruption, political deadlock, etc.)	Failure of national governance	Risk	Inability to govern a nation of geopolitical importance as a result of weak rule of law, corruption or political deadlock. 	Geopolitical
R_REGIONALGOV	REGIONALGOV	Failure of regional or global governance	Failure of regional or global governance	Risk	Inability of regional or global institutions to resolve issues of economic, geopolitical or environmental importance	Geopolitical
R_INTERSTATE	INTERSTATE	Interstate conflict with regional consequences	Interstate conflict	Risk	A bilateral or multilateral dispute between states that escalates into economic (e.g. trade/currency wars, resource nationalization), military, cyber, societal or other conflict.	Geopolitical
R_TERRORIST	TERRORIST	Large-scale terrorist attacks	Terrorist attacks	Risk	Individuals or non-state groups with political or religious goals that successfully inflict large-scale human or material damage.	Geopolitical
R_STATECOLLAPSE	STATECOLLAPSE	State collapse or crisis (e.g. civil conflict, military coup, failed states, etc.)	State collapse or crisis 	Risk	State collapse of geopolitical importance due to internal violence, regional or global instability, military coup, civil conflict, failed states, etc.	Geopolitical
R_WMD	WMD	Weapons of mass destruction	Weapons of mass destruction	Risk	The deployment of nuclear, chemical, biological and radiological technologies and materials, creating international crises and potential for significant destruction	Geopolitical
R_FAILUREURBAN	FAILUREURBAN	Failure of urban planning 	Failure of urban planning	Risk	Poorly planned cities, urban sprawl and associated infrastructure that create social, environmental and health challenges	Societal
R_FOOD	FOOD	Food crises	Food crises	Risk	Inadequate, unaffordable, or unreliable access to appropriate quantities and quality of food and nutrition on a major scale	Societal
R_MIGRATION	MIGRATION	Large-scale involuntary migration	Large-scale involuntary migration	Risk	Large-scale involuntary migration induced by conflict, disasters, environmental or economic reasons	Societal
R_SOCIALINSTABILITY	SOCIALINSTABILITY	Profound social instability 	Profound social instability	Risk	Major social movements or protests (e.g. street riots, social unrest, etc.) that disrupt political or social stability, negatively impacting populations and economic activity	Societal
R_INFECTIOUSDISEASES	INFECTIOUSDISEASES	Rapid and massive spread of infectious diseases 	Spread of infectious diseases	Risk	Bacteria, viruses, parasites or fungi that cause uncontrolled spread of infectious diseases (for instance as a result of resistance to antibiotics, antivirals and other treatments) leading to widespread fatalities and economic disruption	Societal
R_WATER	WATER	Water crises	Water crises	Risk	A significant decline in the available quality and quantity of fresh water, resulting in harmful effects on human health and/or economic activity	Societal
R_TECHADV	TECHADV	Adverse consequences of technological advances	Adverse consequences of technological advances	Risk	Intended or unintended adverse consequences of technological advances such as artificial intelligence, geo-engineering and synthetic biology causing human, environmental and economic damage	Technological
R_CRITICALINFO	CRITICALINFO	Breakdown of critical information infrastructure and networks	Critical information infrastructure breakdown	Risk	Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption	Technological
R_CYBERATTACKS	CYBERATTACKS	Large-scale cyberattacks	Cyberattacks	Risk	Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet	Technological
R_DATAFRAUD	DATAFRAUD	Massive incident of data fraud/theft	Data fraud or theft	Risk	Wrongful exploitation of private or official data that takes place on an unprecedented scale	Technological
T_AGEING	AGEING	Ageing population	Ageing population	Trend	Ageing populations in developed and developing countries driven by declining fertility and decrease of middle- and old-age mortality	Trend
T_INTERGOVERNANCE	INTERGOVERNANCE	Changing landscape of international governance	Changing landscape of international governance	Trend	Changing landscape of global or regional institutions (e.g.  UN, IMF, NATO, etc.), agreements or networks	Trend
T_CLIMATECHANGE	CLIMATECHANGE	Changing climate 	Changing climate 	Trend	Change of climate, which is attributed directly or indirectly to human activity, that alters the composition of the global atmosphere, in addition to natural climate variability	Trend
T_ENVIRONMENTALDEG	ENVIRONMENTALDEG	Degrading environment 	Degrading environment 	Trend	Deterioration in the quality of air, soil and water from ambient concentrations of pollutants and other activities and processes	Trend
T_MIDDLECLASS	MIDDLECLASS	Growing middle class in emerging economies	Growing middle class in emerging economies	Trend	Growing share of population reaching middle-class income levels in emerging economies	Trend
T_NATIONALSENTIMENT	NATIONALSENTIMENT	Increasing national sentiment 	Increasing national sentiment 	Trend	Increasing national sentiment among populations and political leaders affecting countries’ national and international political and economic positions	Trend
T_POLARIZATION	POLARIZATION	Increasing polarization of societies	Increasing polarization of societies	Trend	Inability to reach agreement on key issues within countries because of diverging or extreme values, political or religious views	Trend
T_CHRONICDISEASES	CHRONICDISEASES	Rising chronic diseases	Rising chronic diseases	Trend	Increasing rates of non-communicable diseases, also known as “chronic diseases”, leading to rising costs of long-term treatment and threatening recent societal gains in life expectancy and quality	Trend
T_CYBERDEPENDENCY	CYBERDEPENDENCY 	Rising cyber dependency	Rising cyber dependency	Trend	Rise of cyber dependency due to increasing digital interconnection of people, things and organizations	Trend
T_MOBILITY	MOBILITY	Rising geographic mobility	Rising geographic mobility	Trend	Increasing mobility of people and things due to quicker and better-performing means of transport and lowered regulatory barriers	Trend
T_INCOMEDISP	INCOMEDISP	Rising income and wealth disparity	Rising income and wealth disparity	Trend	Increasing socioeconomic gap between rich and poor in major countries or regions	Trend
T_SHIFTPOWER	SHIFTPOWER	Shifting power	Shifting power	Trend	Shifting power from state to non-state actors and individuals, from global to regional levels, and from developed to emerging market and developing economies	Trend
T_URBANIZATION	URBANIZATION	Rising urbanization	Rising urbanization	Trend	Rising number of people living in urban areas resulting in physical growth of cities	Trend
