source	target	type	strength
T_INTERGOVERNANCE	R_FAILURECLIMATE	Trend-Risk	4
T_INTERGOVERNANCE	R_FAILUREURBAN	Trend-Risk	4
T_INTERGOVERNANCE	R_FINANCIALMECH	Trend-Risk	18
T_INTERGOVERNANCE	R_FISCALCRISES	Trend-Risk	25
T_INTERGOVERNANCE	R_FOOD	Trend-Risk	1
T_INTERGOVERNANCE	R_ILLICITTRADE	Trend-Risk	5
T_INTERGOVERNANCE	R_INFLATION	Trend-Risk	3
T_INTERGOVERNANCE	R_INTERSTATE	Trend-Risk	49
T_INTERGOVERNANCE	R_MANMADECATA	Trend-Risk	1
T_INTERGOVERNANCE	R_MIGRATION	Trend-Risk	16
T_INTERGOVERNANCE	R_NATIONALGOV	Trend-Risk	33
T_INTERGOVERNANCE	R_NATURALCATA	Trend-Risk	2
T_INTERGOVERNANCE	R_SOCIALINSTABILITY	Trend-Risk	21
T_INTERGOVERNANCE	R_STATECOLLAPSE	Trend-Risk	40
T_INTERGOVERNANCE	R_TECHADV	Trend-Risk	3
T_INTERGOVERNANCE	R_TERRORIST	Trend-Risk	16
T_INTERGOVERNANCE	R_UNEMPLOYMENT	Trend-Risk	6
T_INTERGOVERNANCE	R_WATER	Trend-Risk	1
T_INTERGOVERNANCE	R_WEATHEREVENTS	Trend-Risk	1
T_INTERGOVERNANCE	R_WMD	Trend-Risk	8
T_MIDDLECLASS	R_ASSET	Trend-Risk	38
T_MIDDLECLASS	R_BIODIVERSITY	Trend-Risk	4
T_MIDDLECLASS	R_CRITICALINFO	Trend-Risk	6
T_MIDDLECLASS	R_CRITICALINFRA	Trend-Risk	18
T_MIDDLECLASS	R_CYBERATTACKS	Trend-Risk	2
T_MIDDLECLASS	R_DATAFRAUD	Trend-Risk	4
T_MIDDLECLASS	R_DEFLATION	Trend-Risk	11
T_MIDDLECLASS	R_ENERGY	Trend-Risk	14
T_MIDDLECLASS	R_FAILURECLIMATE	Trend-Risk	10
T_MIDDLECLASS	R_FAILUREURBAN	Trend-Risk	29
T_MIDDLECLASS	R_FINANCIALMECH	Trend-Risk	11
T_MIDDLECLASS	R_FISCALCRISES	Trend-Risk	15
T_MIDDLECLASS	R_FOOD	Trend-Risk	16
T_MIDDLECLASS	R_ILLICITTRADE	Trend-Risk	11
T_MIDDLECLASS	R_INFECTIOUSDISEASES	Trend-Risk	1
T_MIDDLECLASS	R_INFLATION	Trend-Risk	10
T_MIDDLECLASS	R_INTERSTATE	Trend-Risk	5
T_MIDDLECLASS	R_MANMADECATA	Trend-Risk	10
T_MIDDLECLASS	R_MIGRATION	Trend-Risk	11
T_MIDDLECLASS	R_NATIONALGOV	Trend-Risk	12
T_MIDDLECLASS	R_NATURALCATA	Trend-Risk	1
T_MIDDLECLASS	R_SOCIALINSTABILITY	Trend-Risk	32
T_MIDDLECLASS	R_STATECOLLAPSE	Trend-Risk	7
T_MIDDLECLASS	R_TECHADV	Trend-Risk	8
T_MIDDLECLASS	R_TERRORIST	Trend-Risk	2
T_MIDDLECLASS	R_UNEMPLOYMENT	Trend-Risk	25
T_MIDDLECLASS	R_WATER	Trend-Risk	12
T_MIDDLECLASS	R_WEATHEREVENTS	Trend-Risk	3
T_MOBILITY	R_ASSET	Trend-Risk	3
T_MOBILITY	R_BIODIVERSITY	Trend-Risk	3
T_MOBILITY	R_CRITICALINFO	Trend-Risk	2
T_MOBILITY	R_CRITICALINFRA	Trend-Risk	10
T_MOBILITY	R_DEFLATION	Trend-Risk	1
T_MOBILITY	R_FAILURECLIMATE	Trend-Risk	6
T_MOBILITY	R_FAILUREURBAN	Trend-Risk	16
T_MOBILITY	R_FISCALCRISES	Trend-Risk	4
T_MOBILITY	R_FOOD	Trend-Risk	11
T_MOBILITY	R_ILLICITTRADE	Trend-Risk	13
T_MOBILITY	R_INFECTIOUSDISEASES	Trend-Risk	9
T_MOBILITY	R_INFLATION	Trend-Risk	1
T_MOBILITY	R_INTERSTATE	Trend-Risk	22
T_MOBILITY	R_MANMADECATA	Trend-Risk	4
T_MOBILITY	R_MIGRATION	Trend-Risk	37
T_MOBILITY	R_NATIONALGOV	Trend-Risk	19
T_MOBILITY	R_NATURALCATA	Trend-Risk	6
T_MOBILITY	R_SOCIALINSTABILITY	Trend-Risk	41
T_MOBILITY	R_STATECOLLAPSE	Trend-Risk	19
T_MOBILITY	R_TECHADV	Trend-Risk	1
T_MOBILITY	R_TERRORIST	Trend-Risk	8
T_MOBILITY	R_UNEMPLOYMENT	Trend-Risk	23
T_MOBILITY	R_WATER	Trend-Risk	5
T_MOBILITY	R_WEATHEREVENTS	Trend-Risk	2
T_MOBILITY	R_WMD	Trend-Risk	2
T_NATIONALSENTIMENT	R_ASSET	Trend-Risk	1
T_NATIONALSENTIMENT	R_BIODIVERSITY	Trend-Risk	1
T_NATIONALSENTIMENT	R_CRITICALINFO	Trend-Risk	1
T_NATIONALSENTIMENT	R_CRITICALINFRA	Trend-Risk	1
T_NATIONALSENTIMENT	R_CYBERATTACKS	Trend-Risk	4
T_NATIONALSENTIMENT	R_FAILURECLIMATE	Trend-Risk	1
T_NATIONALSENTIMENT	R_FAILUREURBAN	Trend-Risk	2
T_NATIONALSENTIMENT	R_FINANCIALMECH	Trend-Risk	2
T_NATIONALSENTIMENT	R_FISCALCRISES	Trend-Risk	3
T_NATIONALSENTIMENT	R_FOOD	Trend-Risk	1
T_NATIONALSENTIMENT	R_ILLICITTRADE	Trend-Risk	3
T_NATIONALSENTIMENT	R_INFECTIOUSDISEASES	Trend-Risk	1
T_NATIONALSENTIMENT	R_INFLATION	Trend-Risk	4
T_NATIONALSENTIMENT	R_INTERSTATE	Trend-Risk	24
T_NATIONALSENTIMENT	R_MIGRATION	Trend-Risk	11
T_NATIONALSENTIMENT	R_NATIONALGOV	Trend-Risk	18
T_NATIONALSENTIMENT	R_SOCIALINSTABILITY	Trend-Risk	22
T_NATIONALSENTIMENT	R_STATECOLLAPSE	Trend-Risk	20
T_NATIONALSENTIMENT	R_TECHADV	Trend-Risk	1
T_NATIONALSENTIMENT	R_TERRORIST	Trend-Risk	11
T_NATIONALSENTIMENT	R_UNEMPLOYMENT	Trend-Risk	10
T_NATIONALSENTIMENT	R_WATER	Trend-Risk	2
T_NATIONALSENTIMENT	R_WMD	Trend-Risk	2
T_POLARIZATION	R_ASSET	Trend-Risk	6
T_POLARIZATION	R_CRITICALINFO	Trend-Risk	2
T_POLARIZATION	R_CRITICALINFRA	Trend-Risk	6
T_POLARIZATION	R_CYBERATTACKS	Trend-Risk	2
T_POLARIZATION	R_DATAFRAUD	Trend-Risk	3
T_POLARIZATION	R_DEFLATION	Trend-Risk	3
T_POLARIZATION	R_FAILURECLIMATE	Trend-Risk	5
T_POLARIZATION	R_FAILUREURBAN	Trend-Risk	9
T_POLARIZATION	R_FINANCIALMECH	Trend-Risk	9
T_POLARIZATION	R_FISCALCRISES	Trend-Risk	15
T_POLARIZATION	R_FOOD	Trend-Risk	5
T_POLARIZATION	R_ILLICITTRADE	Trend-Risk	18
T_POLARIZATION	R_INFECTIOUSDISEASES	Trend-Risk	1
T_POLARIZATION	R_INFLATION	Trend-Risk	8
T_POLARIZATION	R_INTERSTATE	Trend-Risk	29
T_POLARIZATION	R_MIGRATION	Trend-Risk	33
T_POLARIZATION	R_NATIONALGOV	Trend-Risk	57
T_POLARIZATION	R_NATURALCATA	Trend-Risk	1
T_POLARIZATION	R_SOCIALINSTABILITY	Trend-Risk	91
T_POLARIZATION	R_STATECOLLAPSE	Trend-Risk	51
T_POLARIZATION	R_TECHADV	Trend-Risk	7
T_POLARIZATION	R_TERRORIST	Trend-Risk	20
T_POLARIZATION	R_UNEMPLOYMENT	Trend-Risk	65
T_POLARIZATION	R_WATER	Trend-Risk	3
T_POLARIZATION	R_WEATHEREVENTS	Trend-Risk	2
T_POLARIZATION	R_WMD	Trend-Risk	4
T_SHIFTPOWER	R_ASSET	Trend-Risk	9
T_SHIFTPOWER	R_BIODIVERSITY	Trend-Risk	3
T_SHIFTPOWER	R_CRITICALINFO	Trend-Risk	4
T_SHIFTPOWER	R_CRITICALINFRA	Trend-Risk	5
T_SHIFTPOWER	R_CYBERATTACKS	Trend-Risk	12
T_SHIFTPOWER	R_DATAFRAUD	Trend-Risk	4
T_SHIFTPOWER	R_DEFLATION	Trend-Risk	10
T_SHIFTPOWER	R_ENERGY	Trend-Risk	13
T_SHIFTPOWER	R_FAILURECLIMATE	Trend-Risk	5
T_SHIFTPOWER	R_FAILUREURBAN	Trend-Risk	3
T_SHIFTPOWER	R_FINANCIALMECH	Trend-Risk	17
T_SHIFTPOWER	R_FISCALCRISES	Trend-Risk	24
T_SHIFTPOWER	R_FOOD	Trend-Risk	5
T_SHIFTPOWER	R_ILLICITTRADE	Trend-Risk	10
T_SHIFTPOWER	R_INFLATION	Trend-Risk	4
T_SHIFTPOWER	R_INTERSTATE	Trend-Risk	65
T_SHIFTPOWER	R_MANMADECATA	Trend-Risk	2
T_SHIFTPOWER	R_MIGRATION	Trend-Risk	18
T_SHIFTPOWER	R_NATIONALGOV	Trend-Risk	36
T_SHIFTPOWER	R_NATURALCATA	Trend-Risk	1
T_SHIFTPOWER	R_SOCIALINSTABILITY	Trend-Risk	35
T_SHIFTPOWER	R_STATECOLLAPSE	Trend-Risk	50
T_SHIFTPOWER	R_TECHADV	Trend-Risk	6
T_SHIFTPOWER	R_TERRORIST	Trend-Risk	19
T_SHIFTPOWER	R_UNEMPLOYMENT	Trend-Risk	22
T_SHIFTPOWER	R_WATER	Trend-Risk	3
T_SHIFTPOWER	R_WEATHEREVENTS	Trend-Risk	2
T_SHIFTPOWER	R_WMD	Trend-Risk	19
T_URBANIZATION	R_ASSET	Trend-Risk	3
T_URBANIZATION	R_BIODIVERSITY	Trend-Risk	7
T_URBANIZATION	R_CRITICALINFO	Trend-Risk	11
T_URBANIZATION	R_CRITICALINFRA	Trend-Risk	45
T_URBANIZATION	R_CYBERATTACKS	Trend-Risk	2
T_URBANIZATION	R_DATAFRAUD	Trend-Risk	1
T_URBANIZATION	R_DEFLATION	Trend-Risk	3
T_URBANIZATION	R_ENERGY	Trend-Risk	7
T_URBANIZATION	R_FAILURECLIMATE	Trend-Risk	12
T_URBANIZATION	R_FAILUREURBAN	Trend-Risk	65
T_URBANIZATION	R_FINANCIALMECH	Trend-Risk	3
T_URBANIZATION	R_FISCALCRISES	Trend-Risk	6
T_URBANIZATION	R_FOOD	Trend-Risk	16
T_URBANIZATION	R_ILLICITTRADE	Trend-Risk	6
T_URBANIZATION	R_INFECTIOUSDISEASES	Trend-Risk	14
T_URBANIZATION	R_INFLATION	Trend-Risk	5
T_URBANIZATION	R_INTERSTATE	Trend-Risk	3
T_URBANIZATION	R_MANMADECATA	Trend-Risk	3
T_URBANIZATION	R_MIGRATION	Trend-Risk	21
T_URBANIZATION	R_NATIONALGOV	Trend-Risk	13
T_URBANIZATION	R_SOCIALINSTABILITY	Trend-Risk	35
T_URBANIZATION	R_STATECOLLAPSE	Trend-Risk	6
T_URBANIZATION	R_TECHADV	Trend-Risk	4
T_URBANIZATION	R_TERRORIST	Trend-Risk	5
T_URBANIZATION	R_UNEMPLOYMENT	Trend-Risk	34
T_URBANIZATION	R_WATER	Trend-Risk	18
T_URBANIZATION	R_WEATHEREVENTS	Trend-Risk	4
R_ASSET	R_DEFLATION	Risk-Risk	12
R_ASSET	R_ENERGY	Risk-Risk	8
R_ASSET	R_FAILURECLIMATE	Risk-Risk	1
R_ASSET	R_FINANCIALMECH	Risk-Risk	43
R_ASSET	R_FISCALCRISES	Risk-Risk	29
R_ASSET	R_FOOD	Risk-Risk	1
R_ASSET	R_ILLICITTRADE	Risk-Risk	2
R_ASSET	R_INFLATION	Risk-Risk	9
R_ASSET	R_INTERSTATE	Risk-Risk	1
R_ASSET	R_MANMADECATA	Risk-Risk	1
R_ASSET	R_MIGRATION	Risk-Risk	1
R_ASSET	R_SOCIALINSTABILITY	Risk-Risk	4
R_ASSET	R_STATECOLLAPSE	Risk-Risk	1
R_ASSET	R_TECHADV	Risk-Risk	2
R_ASSET	R_UNEMPLOYMENT	Risk-Risk	9
R_BIODIVERSITY	R_CYBERATTACKS	Risk-Risk	1
R_BIODIVERSITY	R_ENERGY	Risk-Risk	1
R_BIODIVERSITY	R_FAILURECLIMATE	Risk-Risk	59
R_BIODIVERSITY	R_FAILUREURBAN	Risk-Risk	1
R_BIODIVERSITY	R_FOOD	Risk-Risk	18
R_BIODIVERSITY	R_ILLICITTRADE	Risk-Risk	2
R_BIODIVERSITY	R_INFECTIOUSDISEASES	Risk-Risk	1
R_BIODIVERSITY	R_INFLATION	Risk-Risk	1
R_BIODIVERSITY	R_INTERSTATE	Risk-Risk	1
R_BIODIVERSITY	R_MANMADECATA	Risk-Risk	12
R_BIODIVERSITY	R_MIGRATION	Risk-Risk	2
R_BIODIVERSITY	R_NATIONALGOV	Risk-Risk	2
R_BIODIVERSITY	R_NATURALCATA	Risk-Risk	3
R_BIODIVERSITY	R_TECHADV	Risk-Risk	1
R_BIODIVERSITY	R_WATER	Risk-Risk	13
R_BIODIVERSITY	R_WEATHEREVENTS	Risk-Risk	14
R_BIODIVERSITY	R_WMD	Risk-Risk	1
R_CRITICALINFO	R_CRITICALINFRA	Risk-Risk	10
R_CRITICALINFO	R_CYBERATTACKS	Risk-Risk	45
R_CRITICALINFO	R_DATAFRAUD	Risk-Risk	19
R_CRITICALINFO	R_FAILURECLIMATE	Risk-Risk	1
R_CRITICALINFO	R_FAILUREURBAN	Risk-Risk	2
R_CRITICALINFO	R_FISCALCRISES	Risk-Risk	1
R_CRITICALINFO	R_FOOD	Risk-Risk	1
R_CRITICALINFO	R_ILLICITTRADE	Risk-Risk	1
R_CRITICALINFO	R_NATIONALGOV	Risk-Risk	1
R_CRITICALINFO	R_NATURALCATA	Risk-Risk	2
R_CRITICALINFO	R_SOCIALINSTABILITY	Risk-Risk	2
R_CRITICALINFO	R_TECHADV	Risk-Risk	5
R_CRITICALINFO	R_TERRORIST	Risk-Risk	4
R_CRITICALINFO	R_WEATHEREVENTS	Risk-Risk	2
R_CRITICALINFO	R_WMD	Risk-Risk	1
R_CRITICALINFRA	R_CYBERATTACKS	Risk-Risk	11
R_CRITICALINFRA	R_DATAFRAUD	Risk-Risk	3
R_CRITICALINFRA	R_ENERGY	Risk-Risk	1
R_CRITICALINFRA	R_FAILUREURBAN	Risk-Risk	25
R_CRITICALINFRA	R_FISCALCRISES	Risk-Risk	2
R_CRITICALINFRA	R_INFECTIOUSDISEASES	Risk-Risk	4
R_CRITICALINFRA	R_MIGRATION	Risk-Risk	2
R_CRITICALINFRA	R_NATIONALGOV	Risk-Risk	5
R_CRITICALINFRA	R_NATURALCATA	Risk-Risk	4
R_CRITICALINFRA	R_SOCIALINSTABILITY	Risk-Risk	1
R_CRITICALINFRA	R_TECHADV	Risk-Risk	1
R_CRITICALINFRA	R_TERRORIST	Risk-Risk	2
R_CRITICALINFRA	R_UNEMPLOYMENT	Risk-Risk	3
R_CRITICALINFRA	R_WATER	Risk-Risk	2
R_CRITICALINFRA	R_WEATHEREVENTS	Risk-Risk	6
R_CRITICALINFRA	R_WMD	Risk-Risk	1
R_CYBERATTACKS	R_DATAFRAUD	Risk-Risk	63
R_CYBERATTACKS	R_FINANCIALMECH	Risk-Risk	2
R_CYBERATTACKS	R_ILLICITTRADE	Risk-Risk	3
R_CYBERATTACKS	R_INTERSTATE	Risk-Risk	3
R_CYBERATTACKS	R_NATIONALGOV	Risk-Risk	2
R_CYBERATTACKS	R_STATECOLLAPSE	Risk-Risk	2
R_CYBERATTACKS	R_TECHADV	Risk-Risk	21
R_CYBERATTACKS	R_TERRORIST	Risk-Risk	9
R_CYBERATTACKS	R_WMD	Risk-Risk	1
R_DATAFRAUD	R_FAILUREURBAN	Risk-Risk	1
R_DATAFRAUD	R_FINANCIALMECH	Risk-Risk	4
R_DATAFRAUD	R_FISCALCRISES	Risk-Risk	2
R_DATAFRAUD	R_ILLICITTRADE	Risk-Risk	1
R_DATAFRAUD	R_NATIONALGOV	Risk-Risk	1
R_DATAFRAUD	R_SOCIALINSTABILITY	Risk-Risk	2
R_DATAFRAUD	R_STATECOLLAPSE	Risk-Risk	1
R_DATAFRAUD	R_TECHADV	Risk-Risk	16
R_DATAFRAUD	R_TERRORIST	Risk-Risk	2
R_DATAFRAUD	R_WATER	Risk-Risk	1
R_DEFLATION	R_ENERGY	Risk-Risk	6
R_DEFLATION	R_FINANCIALMECH	Risk-Risk	4
R_DEFLATION	R_FISCALCRISES	Risk-Risk	20
R_DEFLATION	R_ILLICITTRADE	Risk-Risk	1
R_DEFLATION	R_INFLATION	Risk-Risk	3
R_DEFLATION	R_MIGRATION	Risk-Risk	1
R_DEFLATION	R_NATIONALGOV	Risk-Risk	1
R_DEFLATION	R_SOCIALINSTABILITY	Risk-Risk	4
R_DEFLATION	R_STATECOLLAPSE	Risk-Risk	1
R_DEFLATION	R_TERRORIST	Risk-Risk	1
R_DEFLATION	R_UNEMPLOYMENT	Risk-Risk	21
R_ENERGY	R_FAILURECLIMATE	Risk-Risk	3
